latitude,longitude,depth,mag,year
17.9303,-66.8293,12.0,2.71,2020
17.9301,-66.8363,14.0,2.66,2020
17.9503,-66.9148,10.0,2.74,2020
51.8549,-177.7809,9.99,2.7,2020
18.0103,-66.7696,15.0,2.71,2020
44.5086,147.9993,71.08,4.6,2020
17.9328,-66.8713,13.0,2.78,2020
17.9606,-66.7356,8.0,2.96,2020
38.3997,-96.8942,5.0,2.8,2020
17.8898,-66.8365,14.0,2.61,2020
17.8623,-66.8723,9.0,2.76,2020
19.038,-80.7512,13.65,4.3,2020
35.2003,27.953,10.0,4.3,2020
33.6467,45.7389,10.0,4.4,2020
17.9376,-66.8351,13.0,2.85,2020
17.9721,-66.7545,14.0,3.24,2020
19.0197,-80.7227,10.0,4.2,2020
-29.4073,-176.0725,10.0,4.8,2020
15.8542,119.5021,10.0,4.1,2020
17.9263,-66.8323,13.0,2.81,2020
17.9772,-66.8391,10.0,2.9,2020
51.1626,-179.8526,10.0,2.8,2020
17.899,-66.79,7.0,2.98,2020
19.0695,-67.5578,10.0,3.21,2020
19.02,-80.7182,10.0,4.2,2020
54.6787,158.5963,214.87,4.9,2020
35.1592,27.9618,10.0,4.3,2020
-21.2168,-67.8564,163.64,3.9,2020
17.9238,-66.77,7.0,2.6,2020
19.0246,-80.7573,10.0,4.5,2020
-11.965,165.965,10.0,4.6,2020
17.873,-66.8435,12.0,2.98,2020
51.0728,-179.8549,13.74,2.6,2020
50.9448,-179.8583,10.0,3.7,2020
18.9862,-67.652,15.32,2.5,2020
18.9471,-80.7964,10.0,4.3,2020
19.0361,-67.8728,25.0,2.98,2020
18.8535,-67.8696,15.0,3.42,2020
17.969,-66.7856,7.0,2.83,2020
19.1686,-67.7943,34.0,3.42,2020
18.8891,-67.681,7.0,3.14,2020
18.8943,-67.707,7.0,3.08,2020
18.9211,-80.8777,10.0,4.5,2020
17.9805,-66.8586,11.0,3.09,2020
27.1847,126.7734,10.0,5.3,2020
-20.3386,-68.7436,119.85,4.4,2020
17.8658,-66.7856,9.0,2.5,2020
19.0286,-80.8407,12.39,4.5,2020
18.7072,-80.7549,10.0,4.2,2020
18.9496,-80.8063,10.0,4.4,2020
19.0139,-80.6804,10.0,4.4,2020
17.8665,-66.867,12.0,3.0,2020
19.0301,-80.078,10.0,4.4,2020
17.847,-66.8403,7.0,2.51,2020
-0.2431,29.7646,10.0,4.6,2020
18.9658,-80.6824,10.0,4.4,2020
51.9882,-177.966,10.0,2.5,2020
18.9865,-80.9146,10.0,5.4,2020
18.9457,-80.7411,10.0,6.1,2020
35.1301,27.894,10.0,4.5,2020
19.19,-67.5948,10.0,3.0,2020
19.0623,-80.9069,10.0,4.9,2020
18.8808,-67.6401,6.0,2.79,2020
19.321,-79.123,10.0,4.7,2020
33.8191,45.7813,10.0,4.9,2020
18.9675,-67.8813,7.0,2.86,2020
7.3115,92.0905,10.0,5.1,2020
19.0567,-80.1746,10.0,4.1,2020
41.4656,19.5362,10.0,5.1,2020
39.0341,27.8801,10.0,4.1,2020
61.683,-151.3028,76.2,2.6,2020
18.9774,-80.6052,10.0,3.9,2020
18.8963,-80.6236,10.0,4.5,2020
-17.7076,-175.0678,10.0,4.8,2020
-23.2831,-179.5303,490.68,5.0,2020
50.9004,-179.8565,10.0,4.0,2020
19.4193,-78.756,14.86,7.7,2020
17.9116,-66.7543,7.0,3.21,2020
18.8995,-67.7303,7.0,2.58,2020
17.9175,-66.743,10.0,2.74,2020
51.0325,-179.9851,20.04,2.6,2020
19.171,-67.5608,10.0,3.01,2020
-30.2403,-72.3456,7.45,5.5,2020
-21.54,-66.6974,246.61,4.0,2020
-8.6399,128.4387,10.0,4.3,2020
17.9135,-66.9428,7.0,3.13,2020
17.8773,-66.8689,18.18,2.5,2020
-35.8008,-179.5187,10.0,4.2,2020
17.7906,-66.8886,7.0,2.77,2020
3.0179,122.4933,543.04,4.2,2020
17.9525,-66.9953,5.0,2.74,2020
51.0632,-179.8012,13.44,3.3,2020
50.8996,-179.8337,10.0,5.4,2020
17.8681,-66.8305,13.0,3.13,2020
74.3513,146.7595,10.0,4.4,2020
35.2972,27.952,10.0,4.5,2020
35.2236,27.8475,10.0,4.5,2020
35.2021,27.9766,10.0,4.2,2020
17.887,-66.8548,9.0,2.54,2020
35.2183,27.8918,10.0,5.5,2020
29.5876,52.1306,10.0,5.0,2020
17.9458,-66.8368,13.0,3.4,2020
39.0144,141.8846,62.59,4.3,2020
39.0612,27.7841,10.0,4.0,2020
60.2128,-153.561,177.9,3.8,2020
35.9066667,-117.7321667,7.65,2.57,2020
18.0025,-66.8063,15.0,3.15,2020
-9.2348,-108.7968,10.0,4.7,2020
-8.8855,-109.0178,10.0,4.8,2020
-8.9436,-108.6992,10.0,4.7,2020
-8.8752,-108.7166,10.0,4.7,2020
17.8922,-66.8715,10.0,2.5,2020
16.4936,-95.1217,10.0,4.1,2020
17.833,-66.8658,9.0,2.61,2020
58.3507,158.8794,10.0,4.3,2020
17.8493,-66.868,12.0,3.32,2020
17.9373,-66.9321,7.0,2.82,2020
17.941,-66.7248,13.0,2.62,2020
39.1061,27.875,10.0,5.0,2020
58.8592,158.7873,10.0,4.4,2020
17.9531,-66.8125,10.0,2.56,2020
-17.6641,-174.7287,10.0,4.7,2020
17.8381,-66.8556,5.0,3.61,2020
41.14,141.8761,65.04,4.5,2020
-7.0226,129.1558,151.26,4.5,2020
17.8426,-66.856,8.0,2.8,2020
17.8323,-66.8543,8.0,2.68,2020
17.8872,-66.8148,10.0,2.6,2020
17.9288,-66.9628,9.0,2.65,2020
45.9294,16.2006,10.0,3.3,2020
-9.1119,122.6236,89.54,4.2,2020
17.9186,-67.0195,7.0,2.56,2020
33.6866,45.7193,10.0,4.8,2020
17.93,-66.6425,8.0,2.88,2020
17.9326,-67.0211,6.0,2.6,2020
17.9906,-66.7628,12.0,2.91,2020
17.9835,-66.8343,12.0,2.78,2020
17.9665,-66.8408,14.0,2.62,2020
37.7582,20.86,10.0,4.2,2020
17.7768,-66.8575,10.0,3.0,2020
-31.7516,-71.5003,44.86,4.3,2020
-5.4144,151.6558,79.39,4.2,2020
17.821,-66.9216,3.0,2.79,2020
-11.6731,124.3402,10.0,4.5,2020
-8.3313,159.5123,10.0,4.2,2020
10.2821,-62.2086,39.99,4.8,2020
52.6189,159.248,63.31,4.7,2020
17.7988,-66.8576,10.0,2.94,2020
-23.5546,126.4035,10.0,4.4,2020
17.9784,-66.7144,10.0,2.5,2020
17.9241,-67.013,6.0,2.71,2020
17.9303,-66.8766,10.0,2.82,2020
17.9028,-66.9381,7.0,2.93,2020
35.1385,-95.37866667,6.72,2.55,2020
43.5274,145.911,91.0,5.4,2020
17.9656,-66.8466,15.0,3.38,2020
36.8002,71.5836,109.62,4.0,2020
-10.1427,161.039,6.44,4.6,2020
17.6372,-66.8769,10.0,2.6,2020
17.9153,-66.6943,8.0,3.5,2020
59.7942,-152.9681,103.9,3.0,2020
17.979,-66.7558,12.0,3.34,2020
61.7723,-149.6922,42.9,2.7,2020
17.8942,-66.9138,15.36,2.9,2020
50.9001,-179.8517,10.0,3.8,2020
17.9301,-66.9565,11.0,3.07,2020
53.1082,-164.6783,26.11,3.3,2020
17.9118,-66.8798,10.0,2.76,2020
50.8978,-179.7934,10.0,4.0,2020
17.8971,-66.8073,5.0,2.8,2020
12.1005,-87.6618,35.0,4.3,2020
17.9483,-66.8663,14.0,2.61,2020
-24.9937,179.6933,519.05,4.4,2020
50.9544,-179.7913,10.0,2.9,2020
17.9145,-66.863,8.0,3.38,2020
17.8845,-66.816,5.0,2.74,2020
30.9589,69.8631,10.0,4.3,2020
-5.4507,150.3236,150.24,4.6,2020
17.9198,-66.9643,10.0,2.57,2020
17.9593,-66.8256,14.0,2.89,2020
-6.2036,152.4967,6.35,5.0,2020
17.9431,-66.8305,9.0,2.93,2020
17.9391,-66.8133,14.0,2.62,2020
-17.2799,168.0627,35.0,4.5,2020
17.9796,-66.7391,5.0,2.75,2020
17.9085,-66.6292,10.0,2.6,2020
17.7805,-66.8536,10.0,2.9,2020
17.8346,-66.8556,9.0,3.05,2020
61.6355,-151.0912,68.8,3.1,2020
14.5025,-92.6756,35.0,4.2,2020
26.1887,124.8142,189.13,4.1,2020
17.8237,-66.8494,10.0,2.9,2020
17.9291,-66.959,11.0,2.52,2020
-15.6776,-174.47,129.32,4.6,2020
-3.0271,130.5816,10.0,4.4,2020
-5.6056,149.2367,170.39,4.3,2020
38.3425,39.156,5.0,4.3,2020
51.0442,-179.8081,10.0,5.1,2020
-25.6452,-174.8739,9.74,4.5,2020
-8.5166,118.3287,129.27,4.2,2020
17.8998,-66.6421,6.0,3.23,2020
17.9215,-66.6351,4.0,3.74,2020
51.925,-177.9012,11.71,2.8,2020
35.6993,75.2078,10.0,4.5,2020
80.7983,121.3394,10.0,5.2,2020
17.8851,-66.7551,4.0,2.99,2020
17.0613,40.5713,10.0,4.3,2020
29.5899,52.0467,10.0,5.3,2020
60.8709,-146.1862,17.4,3.3,2020
66.8858,-146.4284,13.2,3.0,2020
37.7168333,-120.076,28.88,2.52,2020
17.9506,-66.8403,14.0,2.93,2020
-21.8867,-179.4084,594.15,4.4,2020
17.8238,-66.8388,5.0,2.7,2020
52.8162,-169.3168,135.54,3.6,2020
17.8005,-66.8525,1.0,2.82,2020
0.4194,-78.7565,49.5,4.1,2020
52.1369,-174.8464,14.38,2.7,2020
17.8518,-66.8603,5.0,2.87,2020
19.3101,-156.9016,5.0,3.0,2020
50.9411,179.9777,21.82,2.7,2020
3.9411,126.4536,59.75,4.2,2020
17.9203,-66.9905,10.0,2.82,2020
17.8446,-66.8548,5.0,2.76,2020
58.8012,158.8461,10.0,4.6,2020
50.9645,-179.8075,10.0,2.8,2020
17.8748,-66.8548,11.0,2.69,2020
3.0825,97.7082,89.81,4.5,2020
-3.7715,101.1315,35.0,4.0,2020
17.9586,-66.7211,8.0,2.69,2020
17.9276,-66.646,5.0,2.79,2020
17.9871,-66.8015,15.0,2.8,2020
-31.1299,-179.9531,337.29,4.3,2020
17.9528,-66.722,7.0,2.95,2020
24.7732,91.7364,10.0,4.5,2020
50.9876,-179.8021,10.0,2.6,2020
-19.5167,169.7255,35.0,4.4,2020
17.9525,-66.6535,7.0,4.3,2020
51.0597,-179.8462,10.0,2.5,2020
17.9436,-66.82,10.0,2.93,2020
17.9318,-66.6348,6.0,2.78,2020
17.8718,-66.8603,2.0,4.1,2020
50.9669,-179.794,10.0,3.5,2020
17.9128,-66.7681,10.0,2.6,2020
17.8298,-66.8538,3.0,2.7,2020
-47.4709,103.5326,10.0,4.5,2020
34.9955,-116.9406667,4.5,3.09,2020
17.9301,-66.6238,6.0,4.3,2020
17.919,-66.9151,4.0,2.76,2020
-10.0929,161.0606,21.0,6.3,2020
17.9906,-66.7981,17.0,3.0,2020
-5.132,102.3652,34.91,4.8,2020
35.5588333,-120.814,5.17,2.86,2020
37.9569,-26.253,10.0,4.8,2020
19.2868,-67.3508,10.0,3.98,2020
18.005,-66.7891,17.0,2.93,2020
17.909,-66.9641,7.0,2.68,2020
17.8888,-66.8491,15.0,2.97,2020
50.9621,-179.7186,10.0,4.0,2020
0.8498,126.6382,66.84,4.4,2020
50.8732,-179.8262,10.81,2.7,2020
