latitude,longitude,depth,mag,year
64.2117,-17.7979,8.19,4.5,2015
-32.8847,-178.469,10.0,4.5,2015
37.3839,141.8355,45.67,4.6,2015
-27.7621,-178.1614,194.63,4.6,2015
-23.7299,-179.7801,503.35,4.6,2015
2.2194,-97.0173,18.25,5.0,2015
13.7488,145.0182,128.39,4.6,2015
-16.1131,-174.9662,290.9,4.5,2015
-19.2852,-174.171,39.77,5.6,2015
1.6192,126.3367,44.65,5.1,2015
-31.5106,-70.2617,110.79,4.6,2015
-24.3877,-116.1421,10.0,5.0,2015
40.3178333,-124.6066667,16.881,5.72,2015
-20.5762,172.5496,38.5,4.8,2015
-48.504,164.9699,40.08,4.7,2015
34.4562,25.0882,37.0,5.1,2015
28.4383,104.8748,10.0,4.6,2015
-41.3446,-85.4076,10.0,5.1,2015
-37.9112,-75.3309,10.0,4.8,2015
27.4285,130.0607,20.06,4.8,2015
-21.607,-179.3422,608.27,5.0,2015
1.6668,127.649,79.49,4.5,2015
-20.9665,-178.3032,484.12,6.2,2015
-20.5947,172.6022,10.0,5.0,2015
-24.4954,-179.8875,518.56,4.5,2015
-10.66,166.9197,50.29,4.5,2015
-13.2888,166.1926,46.04,4.8,2015
21.4114,121.9042,10.0,4.8,2015
-10.9378,165.9378,66.15,4.5,2015
-33.5797,-178.7403,10.0,4.5,2015
-23.4328,-179.7691,544.06,4.7,2015
-35.1337,-108.7329,10.0,4.6,2015
-24.7399,-13.3405,10.0,4.5,2015
-20.5414,172.3259,35.0,4.9,2015
-36.852,-73.632,10.9,4.7,2015
-36.85,-73.583,30.6,4.6,2015
1.2292,97.1966,10.0,4.9,2015
1.3368,97.2402,12.58,5.7,2015
24.5723,127.7098,10.0,4.5,2015
-18.7896,-174.7944,82.5,5.2,2015
-54.6751,-136.7703,10.0,5.6,2015
-20.4697,172.381,48.94,4.9,2015
22.9,120.6,22.1,4.5,2015
22.92,120.54,14.9,4.5,2015
-6.3458,104.5039,58.75,4.6,2015
49.7312,87.5177,44.83,4.8,2015
0.7513,-30.1976,10.0,4.7,2015
9.6106,122.3764,56.84,5.1,2015
-15.5357,-70.2554,200.23,4.5,2015
-20.8582,168.3797,29.68,5.0,2015
41.2918,48.8748,50.12,5.0,2015
6.5472,126.0975,81.22,4.5,2015
-44.3256,94.107,10.0,4.6,2015
-20.592,169.8943,142.19,5.2,2015
35.8284,140.5333,34.89,4.9,2015
52.5619,-131.9669,17.56,4.5,2015
14.396,-92.767,53.4,4.7,2015
27.46,56.19,9.0,5.0,2015
-6.4347,130.2451,124.36,4.5,2015
-10.2034,-74.3062,32.23,4.6,2015
-60.1118,-27.1752,55.85,4.6,2015
39.9178,141.7953,69.18,4.5,2015
29.1666,139.4854,422.15,4.9,2015
0.5116,126.7087,67.35,4.8,2015
6.7651,-73.0564,165.9,4.5,2015
1.1408,126.4303,35.0,5.3,2015
-34.756,-71.813,43.4,4.8,2015
23.278,125.5537,22.25,4.9,2015
29.5277,130.5605,42.68,4.7,2015
-14.06,-74.56,95.0,4.5,2015
-3.5232,137.6728,72.99,4.5,2015
-10.3062,-75.3652,34.34,4.7,2015
-7.2747,129.091,144.52,4.8,2015
-22.8466,171.7264,39.89,4.9,2015
0.8,-77.96,4.0,4.6,2015
54.1826,-35.1214,10.0,4.6,2015
25.0231,95.1923,120.19,4.7,2015
-14.6858,-173.6224,33.43,4.6,2015
37.889,142.8069,17.16,4.5,2015
-5.6709,146.4159,64.16,4.6,2015
33.2289,140.935,22.72,4.7,2015
45.6965,26.5708,84.5,4.5,2015
64.67,-17.46,1.1,4.6,2015
-60.1741,-27.2504,21.23,4.5,2015
23.21,120.4,11.1,4.6,2015
9.5837,126.2181,54.06,4.6,2015
-56.3712,-26.6885,48.94,5.1,2015
-28.3562,-12.8611,7.59,4.6,2015
-29.4628,60.7483,15.08,5.0,2015
-30.1737,-177.852,33.65,4.6,2015
34.4104,139.6851,124.03,4.7,2015
-20.5937,-178.4051,538.56,4.5,2015
-15.2316,67.3155,10.0,4.5,2015
-38.2609,-93.6654,10.0,4.6,2015
-15.3354,66.9851,10.0,4.7,2015
-17.9864,-69.4097,109.73,4.8,2015
-17.5872,165.9087,14.39,4.6,2015
44.1293,11.1357,9.7,4.5,2015
-17.0309,168.52,219.96,6.8,2015
64.6538,-17.5206,6.63,4.6,2015
10.5025,-86.1982,35.0,4.5,2015
-56.0437,-25.5706,31.33,4.5,2015
-12.9679,166.8733,118.63,4.7,2015
42.3624,74.9514,21.25,4.9,2015
51.0238,156.3014,138.16,4.6,2015
0.9811,119.8593,18.01,4.6,2015
19.4962,121.3316,29.77,5.0,2015
-13.4001,-111.6033,10.0,4.7,2015
-56.7806,-25.3795,10.0,4.9,2015
44.0372,83.3533,10.0,4.8,2015
-19.5492,-174.4789,10.0,4.9,2015
41.8833,-119.6332,11.7,4.5,2015
-44.4949,94.1838,10.0,4.5,2015
-52.6119,27.9542,10.0,4.5,2015
-57.232,-150.9463,10.0,4.5,2015
-18.1927,168.5277,192.47,4.5,2015
-3.3437,130.9032,35.82,4.8,2015
73.2507,6.4866,10.0,5.1,2015
-8.207,119.6743,193.88,4.8,2015
-5.6549,146.3279,49.0,5.7,2015
-5.6589,146.3325,63.33,5.1,2015
64.5034,-17.7247,8.12,4.5,2015
55.757,161.907,79.44,4.7,2015
-21.1655,-175.7389,161.6,4.7,2015
-56.5905,-150.5941,10.0,4.8,2015
42.4997,144.4949,63.45,4.6,2015
-8.4072,128.7493,43.98,4.6,2015
-57.004,-23.5053,18.09,4.6,2015
-6.685,129.6883,163.47,4.5,2015
38.25,42.86,4.0,4.5,2015
12.6041,-89.2362,35.0,4.5,2015
17.9964,146.5629,79.07,5.4,2015
30.4981,142.0396,30.61,4.5,2015
5.7486,125.3759,78.36,5.2,2015
-11.1354,163.2375,51.85,4.5,2015
7.2592,-34.0607,10.0,4.5,2015
-2.8784,122.4642,38.54,4.6,2015
-2.4977,138.9516,24.47,4.5,2015
6.3154,123.713,606.46,4.7,2015
-23.3538,-70.8833,20.56,5.2,2015
-7.4936,127.9721,154.66,4.7,2015
0.2233,122.5569,159.79,4.7,2015
-6.1213,154.4605,44.03,4.6,2015
-5.3762,102.4643,36.51,5.0,2015
-37.0197,-96.2391,10.0,4.5,2015
48.2781,154.7664,51.48,4.7,2015
-6.2199,154.2952,35.0,4.6,2015
-6.1785,154.4264,57.31,5.1,2015
2.0608,128.4631,72.98,4.6,2015
64.5031,-17.4205,12.54,4.7,2015
49.0185,78.8175,10.0,4.9,2015
-4.6257,139.3339,30.05,4.7,2015
-17.1302,-174.8098,173.18,4.6,2015
42.1768,84.5075,37.12,4.8,2015
14.9801,-91.4588,154.0,5.5,2015
-7.9798,117.7024,25.02,4.8,2015
5.8735,127.0504,103.9,5.0,2015
14.9739,147.0548,45.74,5.0,2015
37.2051,138.4549,182.82,4.8,2015
-57.5116,-26.6638,137.56,4.5,2015
4.6079,119.7571,11.0,5.5,2015
-3.4184,152.8211,318.89,4.5,2015
-16.772,176.9224,10.0,4.7,2015
73.1786,6.2923,10.0,4.8,2015
-17.6818,-178.9491,554.3,4.6,2015
15.4053,-93.3749,84.86,4.5,2015
73.1971,6.308,10.0,4.6,2015
73.2241,6.4608,10.0,5.4,2015
73.2056,6.368,10.0,5.0,2015
-53.0931,159.3938,10.12,4.6,2015
-25.9301,-179.7966,454.95,4.7,2015
31.7459,104.2804,40.43,4.5,2015
73.2622,6.2674,10.0,4.6,2015
40.4414,141.9813,31.88,4.6,2015
-6.1637,145.2292,130.31,5.0,2015
39.8624,73.8293,59.93,4.5,2015
12.5248,-89.2787,57.58,4.6,2015
-35.4555,-105.7571,8.32,5.7,2015
64.5082,-17.75,8.96,4.7,2015
-19.6312,-178.0314,591.04,4.9,2015
2.8942,125.9094,139.21,4.6,2015
-17.5983,-171.7449,23.47,4.7,2015
-16.8371,-14.3929,10.0,4.7,2015
-17.8677,-177.18,387.89,4.5,2015
51.089,-178.888,28.5,4.5,2015
-55.5878,-27.5861,17.58,4.9,2015
-17.9054,-178.0593,575.98,4.5,2015
30.4265,142.1122,10.0,4.7,2015
30.483,142.1626,10.0,5.3,2015
-16.9253,-14.2961,10.18,4.8,2015
-30.929,-71.746,27.2,4.6,2015
-16.5751,-13.7353,10.0,4.6,2015
36.2786,142.0074,35.22,4.6,2015
9.6624,123.5878,87.27,4.6,2015
-24.256,-67.269,187.0,4.5,2015
-16.4119,-14.0259,10.0,5.2,2015
30.4926,141.9777,34.12,4.6,2015
64.7117,-17.2895,7.35,4.7,2015
56.161,113.6598,10.0,5.0,2015
51.9238,179.578,102.0,5.5,2015
28.5725,142.4879,20.75,5.0,2015
-32.703,-71.703,25.8,4.8,2015
13.9268,120.6895,149.83,5.3,2015
-5.7726,131.8634,56.76,5.5,2015
40.6073,52.8023,46.85,4.6,2015
-22.9074,-112.0348,10.0,4.7,2015
-56.9058,-150.8293,14.83,4.6,2015
-22.237,-63.1461,557.17,5.6,2015
37.3677,142.0544,34.91,4.7,2015
-9.4204,158.4902,42.08,4.6,2015
0.4514,125.3455,62.24,4.8,2015
-19.9767,-68.0595,197.88,4.6,2015
-20.2799,-177.9224,533.7,4.5,2015
-4.5067,102.7359,67.43,4.6,2015
-17.9098,167.6375,10.0,4.8,2015
-18.0165,167.7272,10.0,4.8,2015
-17.953,167.5865,10.0,4.8,2015
6.8908,-82.4016,10.0,4.5,2015
-24.0737,-66.9203,168.82,4.6,2015
-16.1331,-173.8273,94.9,4.6,2015
-23.0271,-112.1349,10.0,4.8,2015
13.9467,120.641,145.98,5.3,2015
-3.0927,130.1604,48.26,4.5,2015
-38.0955,-93.7032,10.0,4.7,2015
-5.1148,151.6489,120.71,4.5,2015
64.6132,-17.3089,8.36,4.7,2015
-4.6931,151.8134,169.55,5.0,2015
-31.9731,57.8175,10.0,4.8,2015
-3.3787,-79.9723,79.03,5.1,2015
-41.108,174.3959,76.2,4.5,2015
26.1757,124.8179,178.66,4.5,2015
-17.8523,167.624,8.3,5.0,2015
24.1521,126.8023,10.0,4.5,2015
-23.3845,-177.2603,201.17,4.5,2015
-26.1121,-11.5187,10.0,5.2,2015
3.6318,126.6531,51.19,4.6,2015
5.2009,94.3363,44.05,4.7,2015
-18.6248,-177.6805,623.68,4.5,2015
-27.8775,-66.6352,149.74,4.7,2015
43.8293,147.3209,70.24,4.8,2015
-8.5992,-80.9263,34.02,4.5,2015
-4.762,102.7939,63.5,5.2,2015
-55.1437,-28.8684,35.0,4.6,2015
-21.6226,170.5193,148.38,4.6,2015
-20.9794,-178.7592,576.21,4.6,2015
-16.7087,-14.3906,10.0,4.8,2015
64.61,-17.38,1.1,4.5,2015
-2.9532,129.6334,23.2,4.7,2015
18.204,-100.721,57.1,4.7,2015
40.9332,143.0831,35.0,4.5,2015
0.1436,119.9664,61.85,5.2,2015
-56.3723,-150.5992,10.0,4.6,2015
48.9312,141.9822,577.0,5.0,2015
32.837,46.928,14.9,4.5,2015
-16.6899,-14.4889,10.0,4.6,2015
-18.3674,168.1864,9.77,4.5,2015
-55.5499,-35.3909,15.47,4.5,2015
-22.0898,-175.8554,146.76,4.6,2015
29.3525,103.1991,10.0,5.3,2015
29.3994,130.8098,38.72,4.5,2015
37.9107,144.6881,35.62,4.6,2015
-15.2793,-173.1453,27.52,4.7,2015
26.3767,128.4545,27.53,4.9,2015
28.2138,128.2721,49.74,4.6,2015
-10.5082,161.5023,111.94,4.5,2015
27.2237,143.4377,10.0,4.7,2015
27.1031,143.5524,10.0,4.6,2015
-31.0437,-65.4643,171.82,4.5,2015
-7.6501,127.9753,138.71,4.5,2015
-6.3915,147.0644,45.86,5.2,2015
27.3092,143.4529,28.83,4.7,2015
27.2001,143.4252,28.92,4.5,2015
27.1643,143.5734,25.79,5.0,2015
64.6792,-17.271,8.95,4.7,2015
-28.1975,-178.1742,194.4,5.0,2015
39.3673,142.0208,43.67,4.8,2015
